Factor,Category,SampleEndYear,PubYear,In-Sample Mean(%),In-Sample Std(%),In-Sample t-stat,In-Sample N,Out-of-Sample Mean(%),Out-of-Sample Std(%),Out-of-Sample t-stat,Out-of-Sample N,Post-Publication Mean(%),Post-Publication Std(%),Post-Publication t-stat,Post-Publication N
accruals_ratio,Fundamental,1991.0000,1996.0000,,,,0.0000,,,,0.0000,-0.3885,1.9008,-3.7409,335.0000
asset_growth,Fundamental,2003.0000,2008.0000,-1.1225,5.1083,-2.3667,116.0000,-0.9045,5.5059,-1.2724,60.0000,-1.0000,3.2789,-4.3881,207.0000
bm,Valuation,1990.0000,1992.0000,,,,0.0000,,,,0.0000,-4.1590,6.7263,-12.2107,390.0000
idiovol,Market,2000.0000,2006.0000,,,,0.0000,,,,0.0000,-10.9747,5.5443,-15.3329,60.0000
leverage,Fundamental,1981.0000,1988.0000,,,,0.0000,,,,0.0000,0.1298,3.4406,0.7448,390.0000
momentum,Market,1989.0000,1993.0000,,,,0.0000,,,,0.0000,-0.6557,5.7074,-2.2366,379.0000
reversal,Market,1987.0000,1990.0000,,,,0.0000,,,,0.0000,1.1986,6.1511,3.8434,389.0000
roa,Fundamental,1993.0000,1996.0000,,,,0.0000,2.3794,7.5771,1.7764,32.0000,1.3557,5.0739,5.0058,351.0000
seo_indicator,Event,1984.0000,1995.0000,,,,0.0000,,,,0.0000,-0.2482,3.3909,-1.3136,322.0000
size,Market,1975.0000,1981.0000,,,,0.0000,,,,0.0000,-2.3204,5.8514,-7.8313,390.0000
turnover,Market,1991.0000,1998.0000,,,,0.0000,,,,0.0000,-2.1131,4.9195,-3.2994,59.0000
Average,All,1989.4545,1994.8182,-1.1225,5.1083,-2.3667,10.5455,0.7375,6.5415,0.2520,8.3636,-1.7432,4.7259,-3.7054,297.4545
